Fish,trayid,treatment,tissue,tlmm,wt,traywt,initialwt,both,day0,day5,day6,day7,h2o,drymatter
i1,i1,i,wf,105,18,7,18,25,18,5,5,5,0.7222,0.2778
i2,i2,i,wf,142,34,7,34,41,34,9,9,9,0.7353,0.2647
i3,i3,i,wf,107,12,7,12,19,12,3,3,3,0.7500,0.2500
i4,i4,i,wf,122,21,7,21,28,21,6,6,6,0.7143,0.2857
i5,i5,i,wf,98,13,7,13,20,13,4,3,3,0.7692,0.2308
i6,i6,i,f,,,8,14,22,14,3,3,3,0.7857,0.2143
i7,i7,i,f,,,8,23,31,23,5,5,5,0.7826,0.2174
i8,i8,i,f,,,8,26,34,26,5,5,5,0.8077,0.1923
1,1,1,wf,223,112.6,15,110,125,110,26,26,26,0.7636,0.2364
2,2,1,wf,118,104.6,15,103,118,103,26,26,26,0.7476,0.2524
3,3,1,wf,213,104.2,15,101,116,101,25,25,25,0.7525,0.2475
4,4,1,wf,211,118.1,16,115,131,115,28,28,28,0.7565,0.2435
5,5,1,wf,231,125.8,15,124,139,124,29,28,28,0.7742,0.2258
6,6,2,wf,234,135,15,131,146,131,32,32,32,0.7557,0.2443
7,7,2,wf,235,132.5,15,129,144,129,30,30,30,0.7674,0.2326
8,8,2,wf,218,109,16,107,123,107,26,26,26,0.7570,0.2430
9,9,2,wf,215,117.8,16,115,131,115,29,29,29,0.7478,0.2522
10,10,2,wf,236,131.6,16,128,144,128,31,31,30,0.7656,0.2344
11,11,3,wf,207,92.6,15,90,105,90,23,22,22,0.7556,0.2444
12,12,3,wf,212,109.1,15,107,122,107,27,27,27,0.7477,0.2523
13,13,3,wf,216,126.7,15,126,141,126,30,30,30,0.7619,0.2381
14,14,3,wf,215,99.4,17,97,114,97,24,24,24,0.7526,0.2474
15,15,3,wf,230,120.7,16,117,133,117,28,28,28,0.7607,0.2393
16,16,4,wf,193,74.8,15,73,88,73,17,17,17,0.7671,0.2329
17,17,4,wf,213,101.9,17,100,117,100,23,23,23,0.7700,0.2300
18,18,4,wf,229,114.8,15,112,127,112,25,25,25,0.7768,0.2232
19,19,4,wf,187,67,18,65,83,65,14,14,14,0.7846,0.2154
20,20,4,wf,185,61.6,18,59,77,59,14,13,13,0.7797,0.2203
21,21,5,wf,235,151.4,15,149,164,149,38,37,37,0.7517,0.2483
22,22,5,wf,281,225.5,16,219,235,219,58,57,57,0.7397,0.2603
23,23,5,wf,242,162.3,16,159,175,159,38,38,38,0.7610,0.2390
24,24,5,wf,247,178.8,16,176,192,176,44,44,44,0.7500,0.2500
