fishid,diet,wt,tlmm,liverwt,evisceratedwt,conditionfactor,wtdiff,percentviscera,hsi
1,FSHSQ,102,212,0.5,96,1.07,6,5.88,0.24
2,FSHSQ,68.6,186,0.71,63,1.07,5.6,8.16,0.38
3,FSHSQ,114.8,222,1.1,105,1.05,9.8,8.54,0.5
4,PELL,116,221,4.12,103,1.07,13,11.21,1.86
5,PELL,160,245,7.72,141,1.09,19,11.88,3.15
6,PELL,145.8,245,5.42,131,0.99,14.8,10.15,2.21
7,SQ,52.9,178,0.27,50,0.94,2.9,5.48,0.15
8,SQ,77.5,199,0.7,72,0.98,5.5,7.1,0.35
9,SQ,62.3,182,0.5,57,1.03,5.3,8.51,0.27
10,F,168.2,259,1.62,160,0.97,8.2,4.88,0.63
11,F,191.4,262,2.18,179,1.06,12.4,6.48,0.83
12,F,161.8,244,1.64,152,1.11,9.8,6.06,0.67
13,SQ,51.1,172,0.35,47,1,4.1,8.02,0.2
14,SQ,52,171,0.5,48,1.04,4,7.69,0.29
15,SQ,73.5,195,0.87,67,0.99,6.5,8.84,0.45
16,FSHSQ,90.3,204,0.62,85,1.06,5.3,5.87,0.3
17,FSHSQ,135.7,235,1.01,129,1.05,6.7,4.94,0.43
18,FSHSQ,111.8,220,0.68,105,1.05,6.8,6.08,0.31
19,F,185.7,247,4.65,172,1.23,13.7,7.38,1.88
20,F,176.9,253,2.35,165,1.09,11.9,6.73,0.93
21,F,147.3,234,3.68,135,1.15,12.3,8.35,1.57
22,FSHSQ,118.1,227,1.26,111,1.01,7.1,6.01,0.56
23,FSHSQ,106.5,223,0.74,100,0.96,6.5,6.1,0.33
24,FSHSQ,116.9,230,0.97,111,0.96,5.9,5.05,0.42
25,FSQ,93.1,210,0.69,88,1.01,5.1,5.48,0.33
26,FSQ,74.8,194,0.95,70,1.02,4.8,6.42,0.49
27,FSQ,98.8,209,0.76,83,1.08,15.8,15.99,0.36
28,SQ,80.5,200,0.73,76,1.01,4.5,5.59,0.37
29,SQ,74.8,198,0.55,70,0.96,4.8,6.42,0.28
30,SQ,63.2,186,0.4,58,0.98,5.2,8.23,0.22
31,PELL,146.5,230,4.66,134,1.2,12.5,8.53,2.03
32,PELL,128.9,230,5.23,117,1.06,11.9,9.23,2.27
33,PELL,107.2,212,2,97,1.13,10.2,9.51,0.94
34,FSH,133.4,238,1,128,0.99,5.4,4.05,0.42
35,FSH,136.3,240,1.05,130,0.99,6.3,4.62,0.44
36,FSH,114.7,225,0.95,108,1.01,6.7,5.84,0.42
37,SH,81.2,197,0.71,76,1.06,5.2,6.4,0.36
38,SH,76.1,194,0.57,71,1.04,5.1,6.7,0.29
39,SH,82.6,203,0.36,77,0.99,5.6,6.78,0.18
40,F,187.4,260,3.31,175,1.07,12.4,6.62,1.27
41,F,139.5,230,3.64,129,1.15,10.5,7.53,1.58
42,F,180.6,255,2.68,169,1.09,11.6,6.42,1.05
43,SHSQ,92.7,210,0.64,89,1,3.7,3.99,0.3
44,SHSQ,47.2,171,0.36,44,0.94,3.2,6.78,0.21
45,SHSQ,85.5,204,0.5,81,1.01,4.5,5.26,0.25
46,FSH,114.4,226,0.55,110,0.99,4.4,3.85,0.24
47,FSH,148.9,243,1.5,140,1.04,8.9,5.98,0.62
48,FSH,153.6,250,1.23,146,0.98,7.6,4.95,0.49
49,PELL,86.3,207,2.61,80,0.97,6.3,7.3,1.26
50,PELL,99.3,214,1.93,91,1.01,8.3,8.36,0.9
51,PELL,138.9,238,2.49,128,1.03,10.9,7.85,1.05
52,FSQ,130.1,238,0.95,124,0.97,6.1,4.69,0.4
53,FSQ,109.8,221,0.6,103,1.02,6.8,6.19,0.27
54,FSQ,124.1,229,0.93,117,1.03,7.1,5.72,0.41
55,SH,67.9,189,0.5,64,1.01,3.9,5.74,0.26
56,SH,61.7,180,0.4,58,1.06,3.7,6,0.22
57,SH,64.6,185,0.51,60,1.02,4.6,7.12,0.28
58,SHSQ,76.6,197,0.59,73,1,3.6,4.7,0.3
59,SHSQ,55.4,177,0.15,52,1,3.4,6.14,0.08
60,SHSQ,79,198,0.39,74,1.02,5,6.33,0.2
61,FSH,122.9,232,0.92,118,0.98,4.9,3.99,0.4
62,FSH,117.5,230,0.97,112,0.97,5.5,4.68,0.42
63,FSH,112.2,225,0.4,106,0.99,6.2,5.53,0.18
64,FSQ,120.1,228,0.72,115,1.01,5.1,4.25,0.32
65,FSQ,116.4,228,0.9,110,0.98,6.4,5.5,0.39
66,FSQ,95.6,215,0.62,92,0.96,3.6,3.77,0.29
67,SHSQ,60.9,183,0.45,58,0.99,2.9,4.76,0.25
68,SHSQ,49.7,170,0.31,47,1.01,2.7,5.43,0.18
69,SHSQ,73.7,195,0.65,69,0.99,4.7,6.38,0.33
70,SH,99.6,212,0.71,96,1.05,3.6,3.61,0.33
71,SH,85.5,203,0.39,81,1.02,4.5,5.26,0.19
72,SH,106.6,221,0.53,100,0.99,6.6,6.19,0.24
