L0001,L0002,L0003,L0006,L0004,L0005,L0007,L0008,L0009,L0010,L0011,L0012,L1201,L1202,L1203,L1243,L1244,L1245,L1255,L1256,L1257,L1216,L1217,L1218,L1234,L1235,L1236,L1261,L1262,L1263
7.617306481,5.371512209,8.039196566,7.860663497,5.904954004,2.441921298,6.026138667,5.323733219,6.489380161,6.986617392,5.013696014,5.166171325,5.455408308,15.36069367,3.683839671,11.29923597,10.66082189,11.77405655,15.10739378,8.781204583,14.90631389,9.174651259,10.2153865,7.359248804,16.82477435,8.082808888,11.86201651,7.095768689,10.61571044,8.879701632
31.13558336,25.62049521,34.41732954,30.64999596,25.15221719,13.94208463,26.57111405,20.38007518,23.95091726,26.03078062,21.62989996,20.12023589,19.19468505,54.95641371,13.28028288,36.07847117,36.1772853,43.65601066,49.22386296,26.92228263,48.07952132,25.72498513,31.79919943,28.5673565,59.69901851,22.34862732,30.87477047,24.5370654,33.57368706,20.25299972
8.456744987,6.922751688,10.88685494,9.090596038,6.912176051,3.495291753,7.763224679,6.742354897,5.51438638,8.117228661,4.18384322,6.150418851,3.571239598,9.597270047,2.43077417,8.354064596,5.903407764,8.369043385,9.320241628,4.032889521,9.15748474,5.48339765,6.355898361,2.86164177,11.67014188,4.342511067,5.136369028,2.663840118,7.912164104,6.525426415
3.622619336,2.774665428,4.206715796,3.679912822,1.25819667,-0.033338764,2.122912022,3.153445994,3.707711373,3.168533507,-0.554218407,2.3801467,1.85600809,3.274467125,0.927217292,3.542714082,2.369478413,3.094642835,2.887794487,2.494478041,3.647151828,0.246555801,3.715273882,-0.584420052,4.541425562,3.214285509,2.961457479,2.401219596,4.596687668,5.319204308
4.569859491,3.260391819,4.043378044,3.923228447,2.345464204,0.068229107,2.863303932,2.983677102,4.050076301,4.703538393,0.106696237,3.427361996,7.004904839,10.62871806,7.262671897,9.641089341,6.801325491,9.063945772,7.134961989,6.8045653,9.01030829,0.921163346,5.741674817,1.185381794,7.197327756,5.681883638,4.292177331,4.521981379,7.215515227,6.150554234
2.417494772,3.320101563,4.836574651,4.813419791,2.618875256,1.507556585,2.999466644,2.369548589,0.71687634,5.679479562,0.965144631,1.696625925,4.133644586,7.586610148,4.289547983,6.325225841,6.095913352,8.426740051,9.363853291,6.366305361,8.414818934,7.546083956,5.448542737,5.602130207,9.208632171,3.800830704,6.53407942,7.510031417,5.227354334,5.958567547
9.367348685,8.457046765,11.73795573,11.73341265,8.725460288,4.913698209,9.018763933,6.39127475,6.418677801,11.43697239,6.084599007,7.168526501,11.92100292,31.58592658,9.382948127,20.47935167,22.18037522,27.19557185,29.56783175,16.51814867,29.74761977,18.15911664,17.30647134,18.95417697,34.8090805,12.85735819,20.30937174,18.51793336,18.82456099,13.19805197
15.57859633,12.73079892,19.14033123,17.10685707,13.55480525,7.091395598,13.94625162,10.16722252,9.558710139,15.59026501,9.616389305,9.499708607,7.247855597,15.94645508,6.212463023,12.4930912,12.72205179,15.02397337,18.05715443,10.51418408,17.33952474,10.82957749,8.931008003,11.29859809,19.39665809,7.971002208,12.16784627,12.90962069,11.5927789,8.285452484
12.77672059,12.700197,15.28560771,15.28665184,12.42445261,7.57489592,12.06646239,7.866913337,8.380803314,13.09789541,8.149078274,9.553859949,10.94553121,29.07418765,9.026568569,19.37224487,19.68351052,24.14835596,26.2758972,14.80805377,26.33737725,15.61058265,13.4939252,17.99919654,32.399817,12.25421717,16.81488473,16.96868268,17.69112421,11.12212147
12.58639807,11.78038171,15.61389899,13.80023235,11.29259392,7.516356481,11.49371079,7.243007456,5.618796968,12.87968624,6.67326554,7.647900462,4.016407933,4.954417176,2.773411333,5.671830497,4.747894248,5.527311342,6.868549765,4.452819511,7.718468157,5.619150618,-0.378375752,4.441135936,7.593162955,4.603171239,4.787616339,5.646658029,4.291745109,5.064446065
3.723877505,3.644579765,4.714461018,4.290824202,3.280187926,2.724660249,3.463373341,-0.414681493,-0.94122332,5.883730045,-0.060635025,2.211302076,2.471604087,3.305644114,2.79089309,3.536589247,3.759829615,4.815878463,4.760374549,3.228339155,5.157409617,4.692361855,-0.114744721,3.623138037,5.324759945,3.507711505,4.394582531,4.109297037,3.55946544,3.823825782
2.223245989,3.137242705,4.113077391,4.009437565,2.644862667,2.295814195,2.508736547,-0.531936032,0.101811992,5.084299422,-0.716835818,2.552870365,2.457299718,2.979021074,2.572677427,3.680551506,3.721635658,4.794529907,4.315781129,2.726216553,4.654523388,4.281401259,-0.150795908,4.271569345,4.949319134,2.722061093,4.021708386,3.463158584,2.841973167,3.619445739
3.028461695,3.396411671,3.67981624,3.857938323,2.760286892,1.83425892,2.365862389,-0.666028525,-0.952055754,4.656012296,-0.039839497,2.067031265,3.457901497,2.820215003,2.601126693,4.040107807,3.558958523,3.980260124,4.543839363,3.95377163,4.498831682,3.032470349,-0.743505337,3.851438094,4.987000938,3.925217901,3.512683758,4.027556136,3.963354739,4.270070725
3.205562017,3.347739736,4.304810057,5.283649767,3.255310221,0.961940634,2.680964826,-0.082459504,-0.561024707,5.428795105,-0.917318002,2.840866687,6.730754583,7.313802564,6.02099307,7.638188151,6.631448995,7.749086178,7.059120857,6.142058075,7.896110255,5.112778436,0.38894884,6.06541598,6.840031448,5.062615182,4.566129324,5.462297316,5.393124301,5.874560682
3.361799912,4.459381059,4.471830762,4.808419685,3.567399353,1.711978885,2.778067514,-0.000834445,0.248677499,5.780054713,0.388729619,2.819199433,4.456293559,4.464605573,3.979360315,5.315335036,4.618782841,5.642711377,4.678574182,4.412570124,5.953146635,3.521581642,-0.572301911,5.089270903,5.677708085,4.771015983,4.335151822,4.210624011,4.266282537,4.556427709
3.722693177,4.257461948,3.496649214,3.60493566,3.567245752,1.117157563,2.466453035,-0.031189317,-0.044652864,5.054803196,0.169925116,2.541131725,6.426120299,7.167200687,6.27244498,8.465266537,6.344871427,7.998067245,5.699096419,6.390571527,7.445656136,4.361466227,1.03729753,5.267322515,7.213947282,4.476820813,4.794381206,5.014915732,4.941083629,5.411563096
-0.45004173,0.853695758,2.551579655,0.488396985,0.596731044,5.135997881,1.144631615,5.248548895,5.240070938,0.90037575,1.955895593,0.639454443,8.07940751,3.585067961,8.263723924,4.534664713,2.030749421,3.854270304,1.662165942,7.541665984,2.533349869,10.35715721,2.550894778,3.818433012,0.270481111,5.530916631,3.657090825,6.030823104,2.078284502,4.71054904
4.277163481,3.045821414,0.031577252,0.930173658,2.28906366,1.715457408,-0.941507922,3.088555758,0.205075932,1.733301325,2.25877824,0.321210184,3.630361419,4.766229543,1.521215307,1.403146094,2.286780891,2.217473945,2.834420164,3.874485124,4.886963272,4.771590897,4.278093896,0.837862487,5.762018675,0.527244973,2.213647184,2.62645857,1.049874921,3.24655712
5.594679484,4.950645148,2.637575477,3.01770549,3.82770967,2.830260002,1.031932961,4.090737341,1.50313417,2.639086369,4.28260823,2.237240766,11.18219405,25.43306883,7.086422862,14.2143841,15.63263245,18.9126634,20.60197177,13.70139015,22.7744809,13.38999515,14.84001145,11.2655333,26.7060858,9.056600809,12.86973475,13.40754232,12.62933823,7.764807711
16.35891617,14.10124883,15.4689062,12.30063788,12.76218031,7.269925955,10.02631683,11.02600056,9.089162598,10.87534985,12.24187785,8.331489749,4.707566263,9.897780629,2.486840443,4.313124705,5.130290247,6.0598163,5.881059786,5.08841133,8.366592324,5.836439905,6.87254349,3.561387063,11.13579755,2.408935483,3.699592873,3.554307827,3.607508971,3.112432502
5.950685747,5.410537746,4.332592878,2.139405545,3.660827302,3.852401015,0.991298617,4.175260482,2.387903597,1.969059259,4.449681687,2.137609831,8.974154989,21.3763704,5.888344781,11.63802322,13.97945425,15.50217689,18.19845108,12.13695776,19.35932265,11.59098932,13.18047659,9.804649526,23.51769343,7.887673002,11.50709059,10.94175196,11.38951392,7.936758777
15.20406578,12.48559555,13.01482801,10.49724678,12.04083179,7.03173265,9.335879871,8.698939774,7.983795184,8.488387428,11.50084897,7.751053622,9.123951759,19.23057157,6.22828868,11.48096514,10.65010612,14.26278995,12.6914651,10.68024569,16.47458329,8.999305839,10.58692472,7.474775909,18.3533779,5.174550601,7.730077047,6.074619406,7.955253727,6.551837648
4.091760849,2.625861079,1.534656834,-0.553688085,3.116622978,1.942147227,-0.089502252,1.905162275,-0.074768994,-0.034508542,3.603595445,0.969530588,4.734301093,6.129027908,3.306023553,2.894351201,2.908254898,3.286304669,2.665974325,4.816746289,5.375793574,3.866245057,3.164741546,0.637614385,4.974754584,0.99447472,1.398967038,0.003655357,1.685754864,2.965463471
1.036277752,1.618229598,2.999027086,1.523802199,2.783451466,6.766455185,1.850216323,6.440276804,6.014694896,0.43724012,1.603234828,3.330647801,11.58714705,9.557758386,13.91629701,18.0834379,5.301177037,10.94617969,3.165400286,17.9964944,12.9733567,12.98295517,5.12351364,4.73693373,1.30377657,8.593386816,5.383294441,3.52881937,8.966705126,5.085425829
