fish,treatment,tissue,ash,total nitrogen,crude protein,crude fat,P,K,Ca,Mg,Zn,Cu,Mn,Fe,S,Na
106,COND,f,7.6,13.8,86.25,2.96,10480.9,17731.4,4359.7,1657.9,26.892,1.948,6.345,22.201,8497.6,4613.5
107,COND,f,6.3,13.99,87.4375,2.25,9803.1,18262.4,2534.8,1382.5,27.994,1.689,4.173,24.745,8558.7,1858.5
108,COND,f,6.2,14.18,88.625,2.69,9502.3,17739.2,2361.3,1342.5,25.835,1.798,3.271,19.503,8222.7,1941.2
41,FSHSQ,f,6.8,13.58,84.875,2.13,10391.3,19438.7,2615.9,1443,20.143,1.418,0.969,25.814,12274.3,6282.87
42,FSHSQ,f,6.2,13.69,85.5625,0.75,9763.1,18872.6,2202.6,1328.5,16.753,1.103,1.1,15.053,11171.6,4338.69
43,FSHSQ,f,6.7,14.26,89.125,0.32,10770.9,20882,2111.6,1490.1,19.299,1.41,0.738,11.706,12425.8,4477.45
44,FSHSQ,f,6.7,14.03,87.6875,0.65,11685.5,22217,2838.8,1586.1,19.769,1.251,0.953,14.892,13055.9,5642.31
45,FSHSQ,f,6.8,14.27,89.1875,0.59,9364.2,18780.1,1444.8,1351.3,16.358,1.03,0.689,11.052,11362.8,5683.25
46,FSH,f,6.3,14.35,89.6875,0.96,9452,18600.1,1668,1320.7,17.757,1.277,0.815,12.958,9361.7,3067.67
47,FSH,f,6.9,14.6,91.25,2.65,10866.3,20790.7,2152.8,1463.8,20.641,1.415,0.789,15.194,10349.9,5340.76
48,FSH,f,6.6,14.16,88.5,0.22,11137.5,22049,2080.5,1447.9,20.148,1.565,0.862,28.929,10435.7,4303.45
49,FSH,f,6.8,14.33,89.5625,0.62,11074.6,21544.2,2772.6,1477,19.239,1.289,1.069,12.396,10171.2,4685.6
50,FSH,f,6.4,14.1,88.125,0.74,11011.6,21369.9,2295.4,1446.9,19.022,1.745,0.809,11.108,10219.6,5088.54
51,FSQ,f,6.6,13.74,85.875,0.11,10525.8,20669.8,1888.3,1494.5,18.247,1.146,0.688,9.79,13465.1,5259.39
52,FSQ,f,6.5,13.98,87.375,1.47,10005.2,19590.6,1916.1,1358.1,21.916,1.268,0.717,12.303,12406.9,4552.58
