Date,Tank,temp,do,sal,pH
11/26/2019,1,24.6,,31.99,8.02
,5,24.6,,32.02,8.04
,9,24.7,,32.03,8.05
,13,24.7,,32.02,8.06
,17,24.6,,32.04,8.08
,21,24.6,,32.03,8.09
11/28/2019,2,24.6,,32.32,8.05
,6,24.6,,32.32,8.09
,10,24.7,,32.31,8.11
,14,24.7,,32.32,8.13
,18,24.7,,32.32,8.14
,22,24.6,,32.32,8.15
11/30/2019,3,24.6,,32.32,7.97
,7,24.6,,32.28,8.02
,11,24.7,,32.24,8.07
,15,24.7,,32.23,8.09
,19,24.6,,32.29,8.11
,23,24.6,,32.24,8.13
12/2/2019,4,24.6,,32.13,7.88
,8,24.6,,32.22,7.96
,12,24.7,,32.2,8.04
,16,24.6,,32.22,8.07
,20,24.6,,32.2,8.1
,24,24.6,,32.22,8.11
12/4/2019,1,24.6,6.85,32.27,7.8
,5,24.7,6.58,32.38,7.9
,9,24.7,6.53,32.37,7.94
,13,24.7,6.61,32.36,7.98
,17,24.6,6.65,32.37,8
,21,24.6,6.47,32.37,8.03
12/6/2019,2,24.6,6.28,32.2,7.7
,6,24.6,6.54,32.23,7.82
,10,24.7,6.65,32.23,7.88
,14,24.7,6.71,32.22,7.93
,18,24.7,6.55,32.23,7.96
,22,24.6,6.68,32.22,7.99
12/8/2019,3,24.5,6.41,31.79,7.64
,7,24.6,6.38,31.82,7.76
,11,24.7,6.7,31.83,7.83
,15,24.7,6.96,31.82,7.9
,19,24.6,6.84,31.83,7.91
,23,24.6,6.86,31.83,7.97
12/10/2019,4,24.5,6.38,31.63,7.75
,8,24.6,6.55,31.78,7.87
,12,24.6,6.49,31.78,7.93
,16,24.6,6.64,31.78,7.97
,20,24.6,6.48,31.8,8.01
,24,24.6,6.35,31.79,8.03
12/12/2019,1,24.5,6.54,31.92,7.79
,5,24.5,6.62,31.98,7.91
,9,24.6,6.72,32,7.96
,13,24.7,6.82,31.99,8
,17,24.6,6.73,32,8.02
,21,24.6,6.37,31.99,8.04
12/14/2019,2,24.5,5.79,32.25,7.81
,6,24.6,6.02,32.27,7.91
,10,24.7,6.45,32.28,7.95
,14,24.7,6.37,32.28,7.98
,18,24.7,6.16,32.29,8
,22,24.6,6.21,32.28,8.02
12/16/2019,3,24.5,6.3,32.22,7.86
,7,24.5,6.09,32.43,7.93
,11,24.8,6.32,32.34,7.97
,15,24.8,6.48,32.34,8
,19,24.7,6.16,32.34,8
,23,24.6,6.35,32.33,8.06
12/18/2019,4,24.5,6.31,32.46,7.81
,8,24.6,6.71,32.48,7.91
,12,24.6,6.6,32.49,7.96
,16,24.7,6.61,32.48,8
,20,24.6,6.64,32.49,8.03
,24,24.6,6.51,32.99,8.05
12/20/2019,1,24.4,6.74,32.64,7.83
,5,24.5,6.32,32.77,7.89
,9,24.6,6.62,32.81,7.94
,13,24.7,6.73,32.84,7.95
,17,24.5,6.36,32.77,7.98
,21,24.5,6.42,32.75,7.99
12/23/2019,2,24.5,6.16,32.38,7.63
,6,24.6,6.26,32.73,7.74
,10,24.7,6.42,32.55,7.82
,14,24.7,6.36,32.54,7.87
,18,24.7,6.22,32.56,7.89
,22,24.6,6.35,32.53,7.92
12/25/2019,3,24.5,6.43,32.46,7.6
,7,24.6,6.23,32.55,7.74
,11,24.7,6.46,32.54,7.8
,15,24.7,6.64,32.54,7.86
,19,24.6,6.48,32.69,7.89
,23,24.6,6.42,32.54,7.92
12/27/2019,4,24.5,6.14,32.4,7.74
,8,24.6,6.53,32.45,7.83
,12,24.6,6.64,32.46,7.9
,16,24.7,6.52,32.46,7.93
,20,24.6,6.75,32.47,7.96
,24,24.6,6.57,32.47,7.97
12/29/2019,1,24.6,6.72,32.42,7.77
,5,24.7,6.32,32.45,7.87
,9,24.7,6.52,32.47,7.92
,13,24.7,6.75,32.48,7.95
,17,24.6,6.46,32.42,7.96
,21,24.6,6.65,32.47,7.98
12/31/2019,2,24.6,6.4,32.04,7.61
,6,24.6,6.29,32.07,7.74
,10,24.7,6.52,32.08,7.8
,14,24.7,6.42,32.22,7.83
,18,24.7,6.14,32.09,7.86
,22,24.6,6.31,32.07,7.88
1/2/2020,3,24.6,6.63,31.36,7.8
,7,24.6,6.64,31.41,7.89
,11,24.7,6.69,31.42,7.92
,15,24.7,6.69,31.6,7.94
,19,24.6,6.43,31.44,7.96
,23,24.6,6.74,31.44,7.99
1/4/2020,4,24.7,6.4,30.78,7.78
,8,24.7,6.59,30.84,7.89
,12,24.7,6.66,30.84,7.95
,16,24.7,6.38,30.84,7.95
,20,24.6,6.67,30.85,7.99
,24,24.7,6.55,30.84,8
1/6/2020,1,24.6,6.44,30.33,7.71
,5,24.6,6.33,30.4,7.79
,9,24.7,6.54,30.42,7.83
,13,24.7,6.75,30.43,7.88
,17,24.6,6.62,30.43,7.91
,21,24.6,6.49,30.42,7.92
1/8/2020,2,24.6,6.52,30.49,7.63
,6,24.6,6.41,30.64,7.81
,10,24.7,6.64,30.66,7.87
,14,24.7,6.52,30.65,7.92
,18,24.6,6.74,30.67,7.95
,22,24.5,6.75,30.66,7.98
1/10/2020,3,24.6,6.52,29.78,7.63
,7,24.6,6.3,29.96,7.74
,11,24.7,6.62,29.95,7.8
,15,24.7,6.79,29.93,7.85
,19,24.6,6.6,29.98,7.88
,23,24.7,6.59,29.98,7.9
1/12/2020,4,24.6,6.59,28.66,7.65
,8,24.6,6.64,28.78,7.81
,12,24.7,6.81,28.8,7.86
,16,24.7,6.51,28.8,7.9
,20,24.6,6.69,28.8,7.94
,24,24.6,6.52,28.8,7.96
1/14/2020,1,24.6,6.75,29.27,7.73
,5,24.6,6.72,29.42,7.85
,9,24.7,6.79,29.47,7.91
,13,24.6,6.83,29.47,7.91
,17,24.6,6.79,29.46,7.96
,21,24.6,6.84,29.46,7.99
1/16/2020,2,24.6,6.41,30.05,7.79
,6,24.6,6.56,30.11,7.87
,10,24.7,6.68,30.13,7.92
,14,24.7,6.6,30.14,7.95
,18,24.6,6.5,30.14,7.97
,22,24.6,6.64,30.14,7.99
1/18/2020,3,24.6,6.81,30.52,7.82
,7,24.6,6.44,30.63,7.88
,11,24.7,6.78,30.66,7.92
,15,24.7,7.02,30.68,7.95
,19,24.6,6.73,30.69,7.97
,23,24.6,6.81,30.69,7.99
1/22/2020,4,24.6,6.2,30.8,7.83
,8,24.6,6.24,30.86,7.88
,12,24.7,6.35,30.88,7.92
,16,24.7,6.09,30.89,7.95
,20,24.6,6.3,30.89,7.98
,24,24.6,6.74,30.89,8
1/24/2020,1,24.6,6.38,30.95,7.82
,5,24.6,6.48,31.08,7.9
,9,24.7,6.32,31.1,7.95
,13,24.7,6.16,31.11,7.99
,17,24.6,6.55,31.11,8.01
,21,24.6,6.52,31.11,8.03
1/26/2020,2,24.7,6.4,30.49,7.73
,6,24.8,6.01,30.61,7.85
,10,24.8,6.21,30.63,7.94
,14,24.8,6.17,30.63,7.96
,18,24.7,6.24,30.63,7.99
,22,24.7,5.92,30.63,8
1/30/2020,3,24.7,6.36,29.77,7.49
,7,24.7,6.1,29.95,7.63
,11,24.8,6.48,29.97,7.71
,15,24.8,6.57,29.98,7.78
,19,24.7,6.71,29.99,7.82
,23,24.7,6.55,29.99,7.85
2/1/2020,4,24.7,5.78,29.55,7.63
,8,24.7,6.36,29.63,7.73
,12,24.8,6.38,29.62,7.79
,16,24.8,6.18,29.64,7.83
,20,24.7,6.4,29.65,7.86
,24,24.7,6.45,29.65,7.89
2/3/2020,1,24.7,6.22,29.6,7.63
,5,24.8,6.32,29.67,7.72
,9,24.8,6.32,29.7,7.78
,13,24.8,6.37,29.7,7.82
,17,24.7,6.35,29.71,7.84
,21,24.7,6.32,29.7,7.86
2/5/2020,2,24.7,6.32,29.6,7.6
,6,24.8,6.17,29.64,7.71
,10,24.8,6.54,29.72,7.77
,14,24.8,6.36,29.76,7.79
,18,24.8,6.39,29.76,7.81
,22,24.7,6.31,29.77,7.83
2/7/2020,3,24.6,6.19,29.49,7.47
,7,24.6,6.3,29.62,7.62
,11,24.7,6.21,29.64,7.71
,15,24.7,6.51,29.65,7.77
,19,24.6,6.47,29.66,7.83
,23,24.6,6.24,29.67,7.85
2/9/2020,4,24.6,6.22,29.47,7.57
,8,24.6,6.65,29.54,7.71
,12,24.7,6.5,29.54,7.76
,16,24.7,6.32,29.55,7.8
,20,24.6,6.64,29.55,7.83
,24,24.6,6.36,29.55,7.85
2/11/2020,1,24.6,6.42,29.19,7.64
,5,24.7,6.48,29.27,7.75
,9,24.7,6.71,29.3,7.82
,13,24.7,6.65,29.3,7.86
,17,24.6,6.39,29.3,7.89
,21,24.6,6.39,29.3,7.91
2/13/2020,2,24.6,6.48,29.73,7.65
,6,24.6,6.47,29.79,7.77
,10,24.7,6.56,29.8,7.82
,14,24.7,5.97,29.81,7.87
,18,24.7,6.41,29.82,7.9
,22,24.7,6.3,29.81,7.92
2/14/2020,3,24.6,6.4,29.86,7.84
,7,24.6,6.27,30.06,7.85
,11,24.6,6.34,29.99,7.86
,15,24.7,6.59,30.01,7.88
,19,24.6,6.65,30.06,7.91
,23,24.5,6.55,30.09,7.91
2/17/2020,4,24.6,5.74,29.75,7.53
,8,24.6,6.11,29.87,7.66
,12,24.7,6.24,29.9,7.71
,16,24.7,5.84,29.91,7.74
,20,24.7,6.17,29.92,7.79
,24,24.7,6.19,29.92,7.81
2/19/2020,1,24.8,6.54,29.86,7.62
,5,24.8,6.65,29.89,7.71
,9,24.8,6.77,29.91,7.76
,13,24.8,6.83,29.91,7.8
,17,24.8,6.63,29.91,7.82
,21,24.8,6.66,29.91,7.86
