tank,number,diet,wet fcr ave.,dry fcr ave.
1,1,FSHSQ,3.615086112,0.872652949
2,8,PELL,,1.078538261
3,7,SQ,6.957057084,1.481499121
4,5,F,2.521099097,0.641204395
5,7,SQ,7.012661721,1.495211749
6,1,FSHSQ,3.738884532,0.908467291
7,5,F,2.429416592,0.617886301
8,1,FSHSQ,3.760011743,0.908117161
9,3,FSQ,3.878822516,0.901032258
10,7,SQ,6.351350563,1.351053236
11,8,PELL,,1.114792754
12,2,FSH,3.279926818,0.838630483
13,6,SH,4.991960961,1.282850303
14,5,F,2.504085376,0.636877205
15,4,SHSQ,5.518476157,1.292296431
16,2,FSH,3.267121498,0.835356345
17,8,PELL,,1.245235706
18,3,FSQ,3.610552202,0.838678379
19,6,SH,5.017882205,1.289511628
20,4,SHSQ,5.504588884,1.289555014
21,2,FSH,3.269708411,0.836017782
22,3,FSQ,3.478405751,0.807537309
23,4,SHSQ,5.88932068,1.380101264
24,6,SH,4.75538264,1.222053639
