diet,weight,sgr
FSHSQ,115.5,1.661116743
FSHSQ,111.5,1.631955323
FSHSQ,102.7,1.536571695
FSH,123.7,1.747494431
FSH,123.9,1.776338511
FSH,121.2,1.761540799
FSQ,105.1,1.588550609
FSQ,112.2,1.656740858
FSQ,122.1,1.732116506
SHSQ,76.4,1.175011954
SHSQ,77.1,1.20077796
SHSQ,69.1,1.101033871
F,182.2,2.204398538
F,186.3,2.214592973
F,173.8,2.134677858
SH,86.4,1.2682549
SH,79.1,1.229470587
SH,90.7,1.389574024
SQ,67.4,1.008336599
SQ,63,0.969555599
SQ,69,1.093071317
PELL,144.8,1.914397009
PELL,137.1,1.87249989
PELL,118.4,1.710620048
