sample,fishid,diet,wt,tlmm,liverwt,evisceratedwt,conditionfactor,wtdiff,percentviscera,hsi
1,1,COND,27,140,1,24,0.983965015,3,11.11111111,3.703703704
1,2,COND,24,137,0.7,22,0.933360764,2,8.333333333,2.916666667
1,3,COND,29,145,1.2,26,0.951248514,3,10.34482759,4.137931034
1,4,COND,32,149,1,29,0.967366788,3,9.375,3.125
1,5,COND,22,131,0.6,20,0.978608072,2,9.090909091,2.727272727
1,6,COND,35,151,1.1,33,1.016569797,2,5.714285714,3.142857143
1,7,COND,28,138,1.2,,1.065419821,,,4.285714286
1,8,COND,35,152,1.4,31,0.996637629,4,11.42857143,4
1,9,COND,32,152,1.2,29,0.654933299,3,9.375,3.75
1,10,COND,27,135,0.9,23,1.09739369,4,14.81481481,3.333333333
1,11,COND,28,146,0.5,25,0.899703612,3,10.71428571,1.785714286
1,12,COND,27,145,0.7,23,0.885645168,4,14.81481481,2.592592593
2,1,FSHSQ,47,168,0.4,41.7,0.991219901,5.3,11.27659574,0.85106383
2,2,FSHSQ,34,150,0.3,29.3,1.007407407,4.7,13.82352941,0.882352941
2,3,FSHSQ,23,135,0.3,20.6,0.934816847,2.4,10.43478261,1.304347826
2,4,PELL,51,175,1.9,44.9,0.951603499,6.1,11.96078431,3.725490196
2,5,PELL,32,148,1,27.8,0.987108365,4.2,13.125,3.125
2,6,PELL,30,146,1.3,26.5,0.963968156,3.5,11.66666667,4.333333333
2,7,SQ,32,153,0.2,29.3,0.893461176,2.7,8.4375,0.625
2,8,SQ,39,160,0.5,36,0.952148438,3,7.692307692,1.282051282
2,9,SQ,27,144,0.3,24.5,0.904224537,2.5,9.259259259,1.111111111
2,10,F,33,154,0.2,30.4,0.903549141,2.6,7.878787879,0.606060606
2,11,F,19,126,0.2,16.7,0.949821434,2.3,12.10526316,1.052631579
2,12,F,48,179,0.4,43.8,0.836916528,4.2,8.75,0.833333333
2,13,SQ,32,149,0.6,28.9,0.967366788,3.1,9.6875,1.875
2,14,SQ,38,160,0.7,34.6,0.927734375,3.4,8.947368421,1.842105263
2,15,SQ,33,150,0.4,30,0.977777778,3,9.090909091,1.212121212
2,16,FSHSQ,23,135,0.4,20.9,0.934816847,2.1,9.130434783,1.739130435
2,17,FSHSQ,35,154,0.4,32.2,0.958309695,2.8,8,1.142857143
2,18,FSHSQ,51,179,0.5,46.4,0.88922381,4.6,9.019607843,0.980392157
2,19,F,41,163,0.4,38.3,0.946718892,2.7,6.585365854,0.975609756
2,20,F,46,166,0.6,42.3,1.005619225,3.7,8.043478261,1.304347826
2,21,F,35,153,0.5,31.7,0.977223162,3.3,9.428571429,1.428571429
2,22,FSHSQ,42,158,0.4,37.8,1.064824487,4.2,10,0.952380952
2,23,FSHSQ,38,158,0.4,35.2,0.963412631,2.8,7.368421053,1.052631579
2,24,FSHSQ,47,165,0.4,42.5,1.046275426,4.5,9.574468085,0.85106383
2,25,FSQ,43,165,0.4,39.5,0.957230709,3.5,8.139534884,0.930232558
2,26,FSQ,40,163,0.2,37.3,0.923628187,2.7,6.75,0.5
2,27,FSQ,26,138,0.4,23,0.989318405,3,11.53846154,1.538461538
2,28,SQ,28,144,0.3,25.6,0.937714335,2.4,8.571428571,1.071428571
2,29,SQ,30,152,0.3,27.5,0.854260825,2.5,8.333333333,1
2,30,SQ,41,162,0.3,37.4,0.964359167,3.6,8.780487805,0.731707317
2,31,PELL,38,154,1.4,33.2,1.040450526,4.8,12.63157895,3.684210526
2,32,PELL,27,141,0.9,23.5,0.963177716,3.5,12.96296296,3.333333333
2,33,PELL,50,177,0.9,46,0.901675367,4,8,1.8
2,34,FSH,38,159,0.4,34.8,0.945349119,3.2,8.421052632,1.052631579
2,35,FSH,51,170,0.2,47,1.038062284,4,7.843137255,0.392156863
2,36,FSH,38,157,0.3,34.5,0.981939294,3.5,9.210526316,0.789473684
2,37,SH,43,167,0.3,39.5,0.923249417,3.5,8.139534884,0.697674419
2,38,SH,43,164,0.4,39.3,0.974848014,3.7,8.604651163,0.930232558
2,39,SH,33,150,0.4,30.5,0.977777778,2.5,7.575757576,1.212121212
2,40,F,50,170,0.4,46.1,1.017708121,3.9,7.8,0.8
2,41,F,46,164,0.7,41.2,1.042860667,4.8,10.43478261,1.52173913
2,42,F,35,155,0.3,32.4,0.939881172,2.6,7.428571429,0.857142857
2,43,SHSQ,31,153,0.2,28.3,0.865540515,2.7,8.709677419,0.64516129
2,44,SHSQ,33,151,0.4,29.3,0.958480095,3.7,11.21212121,1.212121212
2,45,SHSQ,35,157,0.2,32.3,0.904417771,2.7,7.714285714,0.571428571
2,46,FSH,29,145,0.3,26.8,0.951248514,2.2,7.586206897,1.034482759
2,47,FSH,30,146,0.2,27,0.963968156,3,10,0.666666667
2,48,FSH,29,143,0.4,25.8,0.991721858,3.2,11.03448276,1.379310345
2,49,PELL,53,168,2.2,46.6,1.117758611,6.4,12.0754717,4.150943396
2,50,PELL,36,155,1.1,30.6,0.96673492,5.4,15,3.055555556
2,51,PELL,32,150,0.7,26.9,0.948148148,5.1,15.9375,2.1875
2,52,FSQ,37,160,0.2,34.2,0.903320313,2.8,7.567567568,0.540540541
2,53,FSQ,61,189,0.7,56.2,0.903533839,4.8,7.868852459,1.147540984
2,54,FSQ,37,157,0.3,33.2,0.956098786,3.8,10.27027027,0.810810811
2,55,SH,35,155,0.2,31.5,0.939881172,3.5,10,0.571428571
2,56,SH,46,171,0.4,42,0.919961178,4,8.695652174,0.869565217
2,57,SH,31,153,0.1,28,0.865540515,3,9.677419355,0.322580645
2,58,SHSQ,39,163,0.3,35.7,0.900537482,3.3,8.461538462,0.769230769
2,59,SHSQ,39,158,0.3,35.1,0.988765595,3.9,10,0.769230769
2,60,SHSQ,46,167,0.4,41.8,0.987662167,4.2,9.130434783,0.869565217
2,61,FSH,52,172,0.4,46.5,1.021922598,5.5,10.57692308,0.769230769
2,62,FSH,35,153,0.2,31.6,0.977223162,3.4,9.714285714,0.571428571
2,63,FSH,25,136,0.1,22.3,0.993855587,2.7,10.8,0.4
2,64,FSQ,37,160,0.4,34.5,0.903320313,2.5,6.756756757,1.081081081
2,65,FSQ,50,173,0.3,46.3,0.965676571,3.7,7.4,0.6
2,66,FSQ,36,156,0.3,33.1,0.948262783,2.9,8.055555556,0.833333333
2,67,SHSQ,41,160,0.4,36.8,1.000976563,4.2,10.24390244,0.975609756
2,68,SHSQ,35,152,0.2,31.5,0.996637629,3.5,10,0.571428571
2,69,SHSQ,29,148,0.1,26.1,0.894566956,2.9,10,0.344827586
2,70,SH,33,152,0.3,29.6,0.939686908,3.4,10.3030303,0.909090909
2,71,SH,40,159,0.3,35.7,0.995104335,4.3,10.75,0.75
2,72,SH,18,128,0.1,16.3,0.858306885,1.7,9.444444444,0.555555556
3,1,FSHSQ,48,167,0.4,46,1.030604001,2,4.166666667,0.833333333
3,2,FSHSQ,75,195,0.5,69,1.011480301,6,8,0.666666667
3,3,FSHSQ,54,176,0.1,50,0.990502911,4,7.407407407,0.185185185
3,4,PELL,88,200,4.1,78,1.1,10,11.36363636,4.659090909
3,5,PELL,57,176,1.6,51,1.045530851,6,10.52631579,2.807017544
3,6,PELL,67,186,3.3,59,1.041204341,8,11.94029851,4.925373134
3,7,SQ,39,163,0.2,36,0.900537482,3,7.692307692,0.512820513
3,8,SQ,42,163,0.1,39,0.969809596,3,7.142857143,0.238095238
3,9,SQ,39,158,0.2,36,0.988765595,3,7.692307692,0.512820513
3,10,F,66,182,1.2,60,1.094787352,6,9.090909091,1.818181818
3,11,F,61,179,0.7,57,1.06358142,4,6.557377049,1.147540984
3,12,F,47,162,0.6,43,1.105484899,4,8.510638298,1.276595745
3,13,SQ,48,169,0.6,44,0.994445813,4,8.333333333,1.25
3,14,SQ,49,170,0.5,45,0.997353959,4,8.163265306,1.020408163
3,15,SQ,40,161,0.5,37,0.958478473,3,7.5,1.25
3,16,FSHSQ,48,168,0.4,44,1.012309686,4,8.333333333,0.833333333
3,17,FSHSQ,43,164,0.1,41,0.974848014,2,4.651162791,0.23255814
3,18,FSHSQ,53,172,0.3,49,1.041574956,4,7.547169811,0.566037736
3,19,F,59,179,1.2,55,1.028709898,4,6.779661017,2.033898305
3,20,F,49,167,0.3,45,1.052074917,4,8.163265306,0.612244898
3,21,F,73,189,1.2,67,1.081278201,6,8.219178082,1.643835616
3,22,FSHSQ,65,187,0.5,61,0.994004927,4,6.153846154,0.769230769
3,23,FSHSQ,47,163,0.6,43,1.08526312,4,8.510638298,1.276595745
3,24,FSHSQ,58,179,0.4,53,1.011274137,5,8.620689655,0.689655172
3,25,FSQ,41,167,0.7,38,0.880307584,3,7.317073171,1.707317073
3,26,FSQ,48,166,0.5,44,1.0493418,4,8.333333333,1.041666667
3,27,FSQ,52,174,0.4,49,0.987087378,3,5.769230769,0.769230769
3,28,SQ,44,167,0.3,41,0.944720334,3,6.818181818,0.681818182
3,29,SQ,31,149,0.2,29,0.937136576,2,6.451612903,0.64516129
3,30,SQ,44,179,0.5,41,0.767173484,3,6.818181818,1.136363636
3,31,PELL,44,168,1.5,39,0.927950545,5,11.36363636,3.409090909
3,32,PELL,63,186,1.7,57,0.979042888,6,9.523809524,2.698412698
3,33,PELL,43,167,0.7,39,0.923249417,4,9.302325581,1.627906977
3,34,FSH,62,187,0.3,59,0.948127776,3,4.838709677,0.483870968
3,35,FSH,44,159,0.6,41,1.094614769,3,6.818181818,1.363636364
3,36,FSH,52,172,0.2,49,1.021922598,3,5.769230769,0.384615385
3,37,SH,32,148,0.1,29,0.987108365,3,9.375,0.3125
3,38,SH,50,168,0.3,47,1.054489256,3,6,0.6
3,39,SH,47,165,0.3,43,1.046275426,4,8.510638298,0.638297872
3,40,F,80,198,1.2,75,1.030610152,5,6.25,1.5
3,41,F,62,181,0.5,58,1.045576864,4,6.451612903,0.806451613
3,42,F,56,175,0.6,51,1.044897959,5,8.928571429,1.071428571
3,43,SHSQ,50,173,0.3,47,0.965676571,3,6,0.6
3,44,SHSQ,44,166,0.3,41,0.96189665,3,6.818181818,0.681818182
3,45,SHSQ,34,152,0.2,32,0.968162269,2,5.882352941,0.588235294
3,46,FSH,50,170,0.5,47,1.017708121,3,6,1
3,47,FSH,73,194,0.5,69,0.999810447,4,5.479452055,0.684931507
3,48,FSH,51,171,0.5,47,1.019956958,4,7.843137255,0.980392157
3,49,PELL,78,200,2,72,0.975,6,7.692307692,2.564102564
3,50,PELL,41,163,1.8,36,0.946718892,5,12.19512195,4.390243902
3,51,PELL,68,191,2.3,62,0.975907849,6,8.823529412,3.382352941
3,52,FSQ,27,140,0.3,24,0.983965015,3,11.11111111,1.111111111
3,53,FSQ,55,177,0.4,51,0.991842904,4,7.272727273,0.727272727
3,54,FSQ,62,183,0.4,58,1.011668949,4,6.451612903,0.64516129
3,55,SH,42,163,0.1,40,0.969809596,2,4.761904762,0.238095238
3,56,SH,48,171,0.4,45,0.95995949,3,6.25,0.833333333
3,57,SH,50,172,0.3,47,0.982617883,3,6,0.6
3,58,SHSQ,30,147,0.2,28,0.944428861,2,6.666666667,0.666666667
3,59,SHSQ,57,179,0.5,54,0.993838376,3,5.263157895,0.877192982
3,60,SHSQ,41,160,0.3,38,1.000976563,3,7.317073171,0.731707317
3,61,FSH,52,176,0.2,48,0.953817618,4,7.692307692,0.384615385
3,62,FSH,56,172,0.5,52,1.100532029,4,7.142857143,0.892857143
3,63,FSH,65,188,0.4,62,0.978227368,3,4.615384615,0.615384615
3,64,FSQ,40,158,0.3,38,1.014118559,2,5,0.75
3,65,FSQ,57,178,0.4,54,1.010682739,3,5.263157895,0.701754386
3,66,FSQ,49,172,0.3,46,0.962965525,3,6.12244898,0.612244898
3,67,SHSQ,41,164,0.3,39,0.929506246,2,4.87804878,0.731707317
3,68,SHSQ,26,145,0.1,24,0.852843495,2,7.692307692,0.384615385
3,69,SHSQ,43,163,0.2,40,0.992900301,3,6.976744186,0.465116279
3,70,SH,51,172,0.3,48,1.00227024,3,5.882352941,0.588235294
3,71,SH,30,145,0.1,28,0.984050187,2,6.666666667,0.333333333
3,72,SH,47,173,0.3,44,0.907735977,3,6.382978723,0.638297872
4,1,FSHSQ,95.3,213,0.83,91,0.986175231,4.3,4.512067156,0.870933893
4,2,FSHSQ,72.5,197,0.38,69,0.948285976,3.5,4.827586207,0.524137931
4,3,FSHSQ,70.9,192,0.69,66,1.001711245,4.9,6.911142454,0.973201693
4,4,PELL,72.6,192,3.07,65,1.025729709,7.6,10.46831956,4.228650138
4,5,PELL,113.8,217,4.97,102,1.11368677,11.8,10.36906854,4.367311072
4,6,PELL,62.2,187,2.33,55,0.951186253,7.2,11.5755627,3.745980707
4,7,SQ,58.2,181,0.48,54,0.981493121,4.2,7.216494845,0.824742268
4,8,SQ,55.6,176,0.71,51,1.019851146,4.6,8.273381295,1.276978417
4,9,SQ,37.2,157,0.23,34,0.961266888,3.2,8.602150538,0.61827957
4,10,F,85.8,203,1.1,80,1.025649976,5.8,6.75990676,1.282051282
4,11,F,93.2,210,1.03,87,1.006370802,6.2,6.652360515,1.105150215
4,12,F,104.8,210,2.2,96,1.131627254,8.8,8.396946565,2.099236641
4,13,SQ,60.1,183,0.49,56,0.980666191,4.1,6.821963394,0.81530782
4,14,SQ,53,175,0.4,49,0.988921283,4,7.547169811,0.754716981
4,15,SQ,36.8,157,0.33,34,0.950930685,2.8,7.608695652,0.89673913
4,16,FSHSQ,78.1,195,0.83,73,1.053288154,5.1,6.530089629,1.062740077
4,17,FSHSQ,84.3,207,0.53,79,0.950422126,5.3,6.287069988,0.628706999
4,18,FSHSQ,68.9,193,0.17,65,0.958401081,3.9,5.660377358,0.246734398
4,19,F,151.3,240,3.04,140,1.09447338,11.3,7.46860542,2.009253139
4,20,F,98.4,214,2.11,91,1.004046389,7.4,7.520325203,2.144308943
4,21,F,108.4,220,1.3,101,1.018031555,7.4,6.826568266,1.199261993
4,22,FSHSQ,77.5,196,0.63,73,1.029279892,4.5,5.806451613,0.812903226
4,23,FSHSQ,88.6,206,0.41,83,1.013519388,5.6,6.320541761,0.46275395
4,24,FSHSQ,70.4,196,0.36,66,0.934984573,4.4,6.25,0.511363636
4,25,FSQ,69.6,189,0.69,66,1.030917299,3.6,5.172413793,0.99137931
4,26,FSQ,62.2,188,0.4,58,0.936088343,4.2,6.752411576,0.643086817
4,27,FSQ,74.4,196,0.69,69,0.988108696,5.4,7.258064516,0.927419355
4,28,SQ,60.7,185,0.6,57,0.958679644,3.7,6.095551895,0.988467875
4,29,SQ,24.2,138,0.18,22,0.920827131,2.2,9.090909091,0.743801653
4,30,SQ,53.7,178,0.35,50,0.952169528,3.7,6.890130354,0.651769088
4,31,PELL,99.7,211,3.31,89,1.061323529,10.7,10.73219659,3.31995988
4,32,PELL,80.2,202,2.77,72,0.973016623,8.2,10.2244389,3.453865337
4,33,PELL,94.9,205,2.2,86,1.101551051,8.9,9.37829294,2.318229715
4,34,FSH,65.4,188,0.58,62,0.984247228,3.4,5.198776758,0.886850153
4,35,FSH,80.7,200,0.47,76,1.00875,4.7,5.824039653,0.582403965
4,36,FSH,89.2,200,0.91,83,1.115,6.2,6.950672646,1.020179372
4,37,SH,50.9,172,0.52,48,1.000305005,2.9,5.697445972,1.021611002
4,38,SH,64.7,187,0.27,61,0.989417212,3.7,5.7187017,0.417310665
4,39,SH,58.7,179,0.58,56,1.02347917,2.7,4.599659284,0.988074957
4,40,F,101,215,1.15,95,1.016262719,6,5.940594059,1.138613861
4,41,F,116,221,1.91,107,1.074684953,9,7.75862069,1.646551724
4,42,F,107.2,217,1.27,100,1.049096852,7.2,6.71641791,1.184701493
4,43,SHSQ,58.6,180,0.73,55,1.004801097,3.6,6.14334471,1.245733788
4,44,SHSQ,52.3,172,0.31,49,1.027818305,3.3,6.309751434,0.592734226
4,45,SHSQ,81.1,201,0.51,76,0.998694555,5.1,6.288532676,0.628853268
4,46,FSH,95.3,209,0.91,91,1.04388833,4.3,4.512067156,0.954879328
4,47,FSH,96.6,210,0.63,91,1.0430839,5.6,5.797101449,0.652173913
4,48,FSH,88.9,204,0.7,84,1.047155694,4.9,5.511811024,0.787401575
4,49,PELL,104.7,215,3.27,96,1.053492145,8.7,8.309455587,3.123209169
4,50,PELL,63.9,179,1.74,58,1.114145127,5.9,9.233176839,2.723004695
4,51,PELL,107.5,216,4.56,97,1.066712074,10.5,9.76744186,4.241860465
4,52,FSQ,91.1,210,0.56,87,0.983695065,4.1,4.500548847,0.614709111
4,53,FSQ,59.3,184,0.4,56,0.951921694,3.3,5.564924115,0.674536256
4,54,FSQ,73.4,197,0.66,69,0.960057802,4.4,5.994550409,0.899182561
4,55,SH,53.7,180,0.31,50,0.920781893,3.7,6.890130354,0.577281192
4,56,SH,59.2,180,0.31,56,1.015089163,3.2,5.405405405,0.523648649
4,57,SH,53.1,175,0.37,50,0.990787172,3.1,5.838041431,0.696798493
4,58,SHSQ,46.2,167,0.44,44,0.99195635,2.2,4.761904762,0.952380952
4,59,SHSQ,38.2,159,0.35,36,0.95032464,2.2,5.759162304,0.916230366
4,60,SHSQ,41.7,165,0.39,39,0.928291176,2.7,6.474820144,0.935251799
4,61,FSH,71.8,191,0.47,68,1.030443876,3.8,5.292479109,0.6545961
4,62,FSH,85,200,0.62,80,1.0625,5,5.882352941,0.729411765
4,63,FSH,77.3,195,0.57,70,1.042499031,7.3,9.443725744,0.737386805
4,64,FSQ,81,203,0.51,78,0.968270956,3,3.703703704,0.62962963
4,65,FSQ,81.9,200,0.79,77,1.02375,4.9,5.982905983,0.964590965
4,66,FSQ,80.1,196,0.44,76,1.063810572,4.1,5.118601748,0.549313358
4,67,SHSQ,62.9,183,0.31,60,1.026354466,2.9,4.610492846,0.492845787
4,68,SHSQ,52.3,177,0.35,49,0.943152434,3.3,6.309751434,0.669216061
4,69,SHSQ,64.8,190,0.43,61,0.944744132,3.8,5.864197531,0.663580247
4,70,SH,45.9,170,0.27,44,0.934256055,1.9,4.139433551,0.588235294
4,71,SH,71,195,0.44,67,0.957534685,4,5.633802817,0.61971831
4,72,SH,36.9,153,0.32,34,1.030272419,2.9,7.859078591,0.867208672
5,1,FSHSQ,102,212,0.5,96,1.07,6,5.88,0.490196078
5,2,FSHSQ,68.6,186,0.71,63,1.07,5.6,8.16,1.034985423
5,3,FSHSQ,114.8,222,1.1,105,1.05,9.8,8.54,0.958188153
5,4,PELL,116,221,4.12,103,1.07,13,11.21,3.551724138
5,5,PELL,160,245,7.72,141,1.09,19,11.88,4.825
5,6,PELL,145.8,245,5.42,131,0.99,14.8,10.15,3.717421125
5,7,SQ,52.9,178,0.27,50,0.94,2.9,5.48,0.510396975
5,8,SQ,77.5,199,0.7,72,0.98,5.5,7.1,0.903225806
5,9,SQ,62.3,182,0.5,57,1.03,5.3,8.51,0.802568218
5,10,F,168.2,259,1.62,160,0.97,8.2,4.88,0.96313912
5,11,F,191.4,262,2.18,179,1.06,12.4,6.48,1.138975967
5,12,F,161.8,244,1.64,152,1.11,9.8,6.06,1.013597033
5,13,SQ,51.1,172,0.35,47,1,4.1,8.02,0.684931507
5,14,SQ,52,171,0.5,48,1.04,4,7.69,0.961538462
5,15,SQ,73.5,195,0.87,67,0.99,6.5,8.84,1.183673469
5,16,FSHSQ,90.3,204,0.62,85,1.06,5.3,5.87,0.686600221
5,17,FSHSQ,135.7,235,1.01,129,1.05,6.7,4.94,0.744288873
5,18,FSHSQ,111.8,220,0.68,105,1.05,6.8,6.08,0.60822898
5,19,F,185.7,247,4.65,172,1.23,13.7,7.38,2.504038772
5,20,F,176.9,253,2.35,165,1.09,11.9,6.73,1.328434144
5,21,F,147.3,234,3.68,135,1.15,12.3,8.35,2.498302783
5,22,FSHSQ,118.1,227,1.26,111,1.01,7.1,6.01,1.066892464
5,23,FSHSQ,106.5,223,0.74,100,0.96,6.5,6.1,0.694835681
5,24,FSHSQ,116.9,230,0.97,111,0.96,5.9,5.05,0.829769033
5,25,FSQ,93.1,210,0.69,88,1.01,5.1,5.48,0.741138561
5,26,FSQ,74.8,194,0.95,70,1.02,4.8,6.42,1.270053476
5,27,FSQ,98.8,209,0.76,83,1.08,15.8,15.99,0.769230769
5,28,SQ,80.5,200,0.73,76,1.01,4.5,5.59,0.906832298
5,29,SQ,74.8,198,0.55,70,0.96,4.8,6.42,0.735294118
5,30,SQ,63.2,186,0.4,58,0.98,5.2,8.23,0.632911392
5,31,PELL,146.5,230,4.66,134,1.2,12.5,8.53,3.180887372
5,32,PELL,128.9,230,5.23,117,1.06,11.9,9.23,4.057408844
5,33,PELL,107.2,212,2,97,1.13,10.2,9.51,1.865671642
5,34,FSH,133.4,238,1,128,0.99,5.4,4.05,0.749625187
5,35,FSH,136.3,240,1.05,130,0.99,6.3,4.62,0.770359501
5,36,FSH,114.7,225,0.95,108,1.01,6.7,5.84,0.828247602
5,37,SH,81.2,197,0.71,76,1.06,5.2,6.4,0.874384236
5,38,SH,76.1,194,0.57,71,1.04,5.1,6.7,0.749014455
5,39,SH,82.6,203,0.36,77,0.99,5.6,6.78,0.435835351
5,40,F,187.4,260,3.31,175,1.07,12.4,6.62,1.766275347
5,41,F,139.5,230,3.64,129,1.15,10.5,7.53,2.609318996
5,42,F,180.6,255,2.68,169,1.09,11.6,6.42,1.483942414
5,43,SHSQ,92.7,210,0.64,89,1,3.7,3.99,0.690399137
5,44,SHSQ,47.2,171,0.36,44,0.94,3.2,6.78,0.762711864
5,45,SHSQ,85.5,204,0.5,81,1.01,4.5,5.26,0.584795322
5,46,FSH,114.4,226,0.55,110,0.99,4.4,3.85,0.480769231
5,47,FSH,148.9,243,1.5,140,1.04,8.9,5.98,1.007387508
5,48,FSH,153.6,250,1.23,146,0.98,7.6,4.95,0.80078125
