tank,diet,growthrategpday,sgr,avewt,fcr,fe,liverwt,evisceratedwt,cfgperday,wtdiffgrams,percentviscera,his
1,1,,,,,,,,,,,
6,1,,,,,,,,,,,
8,1,,,,,,,,,,,
12,2,,,,,,,,,,,
16,2,,,,,,,,,,,
21,2,,,,,,,,,,,
9,3,,,,,,,,,,,
18,3,,,,,,,,,,,
22,3,,,,,,,,,,,
15,4,,,,,,,,,,,
20,4,,,,,,,,,,,
23,4,,,,,,,,,,,
4,5,,,,,,,,,,,
7,5,,,,,,,,,,,
14,5,,,,,,,,,,,
13,6,,,,,,,,,,,
19,6,,,,,,,,,,,
24,6,,,,,,,,,,,
3,7,,,,,,,,,,,
5,7,,,,,,,,,,,
10,7,,,,,,,,,,,
2,8,,,,,,,,,,,
11,8,,,,,,,,,,,
17,8,,,,,,,,,,,
