Fish,trayid,treatment,tissue,tlmm,wt,traywt,initialwt,both,0,5,6,7,10,11,percenth2o,drymatter
i1,i1,Initial,Whole fish,,,,,,,,,,,,,
i2,i2,Initial,Whole fish,,,,,,,,,,,,,
i3,i3,Initial,Whole fish,,,,,,,,,,,,,
i4,i4,Initial,Whole fish,,,,,,,,,,,,,
i5,i5,Initial,Whole fish,,,,,,,,,,,,,
i6,i6,Initial,Fillet,,,,,,,,,,,,,
i7,i7,Initial,Fillet,,,,,,,,,,,,,
i8,i8,Initial,Fillet,,,,,,,,,,,,,
i9,i9,Initial,Fillet,,,,,,,,,,,,,
i10,i10,Initial,Fillet,,,,,,,,,,,,,
1,1,Diet 1,Whole Fish,,,,,,,,,,,,,
2,2,Diet 1,Whole Fish,,,,,,,,,,,,,
3,3,Diet 1,Whole Fish,,,,,,,,,,,,,
4,4,Diet 1,Whole Fish,,,,,,,,,,,,,
5,5,Diet 1,Whole Fish,,,,,,,,,,,,,
6,6,Diet 2,Whole Fish,,,,,,,,,,,,,
7,7,Diet 2,Whole Fish,,,,,,,,,,,,,
8,8,Diet 2,Whole Fish,,,,,,,,,,,,,
9,9,Diet 2,Whole Fish,,,,,,,,,,,,,
10,10,Diet 2,Whole Fish,,,,,,,,,,,,,
11,11,Diet 3,Whole Fish,,,,,,,,,,,,,
12,12,Diet 3,Whole Fish,,,,,,,,,,,,,
13,13,Diet 3,Whole Fish,,,,,,,,,,,,,
14,14,Diet 3,Whole Fish,,,,,,,,,,,,,
15,15,Diet 3,Whole Fish,,,,,,,,,,,,,
16,16,Diet 4,Whole Fish,,,,,,,,,,,,,
17,17,Diet 4,Whole Fish,,,,,,,,,,,,,
18,18,Diet 4,Whole Fish,,,,,,,,,,,,,
19,19,Diet 4,Whole Fish,,,,,,,,,,,,,
20,20,Diet 4,Whole Fish,,,,,,,,,,,,,
21,21,Diet 5,Whole Fish,,,,,,,,,,,,,
22,22,Diet 5,Whole Fish,,,,,,,,,,,,,
23,23,Diet 5,Whole Fish,,,,,,,,,,,,,
24,24,Diet 5,Whole Fish,,,,,,,,,,,,,
25,25,Diet 5,Whole Fish,,,,,,,,,,,,,
26,26,Diet 6,Whole Fish,,,,,,,,,,,,,
27,27,Diet 6,Whole Fish,,,,,,,,,,,,,
28,28,Diet 6,Whole Fish,,,,,,,,,,,,,
29,29,Diet 6,Whole Fish,,,,,,,,,,,,,
30,30,Diet 6,Whole Fish,,,,,,,,,,,,,
31,31,Diet 7,Whole Fish,,,,,,,,,,,,,
32,32,Diet 7,Whole Fish,,,,,,,,,,,,,
33,33,Diet 7,Whole Fish,,,,,,,,,,,,,
34,34,Diet 7,Whole Fish,,,,,,,,,,,,,
35,35,Diet 7,Whole Fish,,,,,,,,,,,,,
36,36,Diet 8,Whole Fish,,,,,,,,,,,,,
37,37,Diet 8,Whole Fish,,,,,,,,,,,,,
38,38,Diet 8,Whole Fish,,,,,,,,,,,,,
39,39,Diet 8,Whole Fish,,,,,,,,,,,,,
40,40,Diet 8,Whole Fish,,,,,,,,,,,,,
41,41,Diet 1,Fillet,,,,,,,,,,,,,
42,42,Diet 1,Fillet,,,,,,,,,,,,,
43,43,Diet 1,Fillet,,,,,,,,,,,,,
44,44,Diet 1,Fillet,,,,,,,,,,,,,
45,45,Diet 1,Fillet,,,,,,,,,,,,,
46,46,Diet 2,Fillet,,,,,,,,,,,,,
47,47,Diet 2,Fillet,,,,,,,,,,,,,
48,48,Diet 2,Fillet,,,,,,,,,,,,,
49,49,Diet 2,Fillet,,,,,,,,,,,,,
50,50,Diet 2,Fillet,,,,,,,,,,,,,
51,51,Diet 3,Fillet,,,,,,,,,,,,,
52,52,Diet 3,Fillet,,,,,,,,,,,,,
53,53,Diet 3,Fillet,,,,,,,,,,,,,
54,54,Diet 3,Fillet,,,,,,,,,,,,,
55,55,Diet 3,Fillet,,,,,,,,,,,,,
56,56,Diet 4,Fillet,,,,,,,,,,,,,
57,57,Diet 4,Fillet,,,,,,,,,,,,,
58,58,Diet 4,Fillet,,,,,,,,,,,,,
59,59,Diet 4,Fillet,,,,,,,,,,,,,
60,60,Diet 4,Fillet,,,,,,,,,,,,,
61,61,Diet 5,Fillet,,,,,,,,,,,,,
62,62,Diet 5,Fillet,,,,,,,,,,,,,
63,63,Diet 5,Fillet,,,,,,,,,,,,,
64,64,Diet 5,Fillet,,,,,,,,,,,,,
65,65,Diet 5,Fillet,,,,,,,,,,,,,
66,66,Diet 6,Fillet,,,,,,,,,,,,,
67,67,Diet 6,Fillet,,,,,,,,,,,,,
68,68,Diet 6,Fillet,,,,,,,,,,,,,
69,69,Diet 6,Fillet,,,,,,,,,,,,,
70,70,Diet 6,Fillet,,,,,,,,,,,,,
71,71,Diet 7,Fillet,,,,,,,,,,,,,
72,72,Diet 7,Fillet,,,,,,,,,,,,,
73,73,Diet 7,Fillet,,,,,,,,,,,,,
74,74,Diet 7,Fillet,,,,,,,,,,,,,
75,75,Diet 7,Fillet,,,,,,,,,,,,,
76,76,Diet 8,Fillet,,,,,,,,,,,,,
77,77,Diet 8,Fillet,,,,,,,,,,,,,
78,78,Diet 8,Fillet,,,,,,,,,,,,,
79,79,Diet 8,Fillet,,,,,,,,,,,,,
80,80,Diet 8,Fillet,,,,,,,,,,,,,
